sommet id=1 x=301 y=302
sommet id=2 x=308 y=100
sommet id=3 x=305 y=525
sommet id=4 x=624 y=526
sommet id=5 x=633 y=107
sommet id=6 x=1093 y=519
sommet id=7 x=625 y=309
sommet id=8 x=1081 y=103
sommet id=9 x=1267 y=100
sommet id=10 x=1281 y=509

rue nom=unnamed

arc or=7 dest=6 rue=unnamed
arc or=6 dest=7 rue=unnamed
arc or=7 dest=4 rue=unnamed
arc or=4 dest=7 rue=unnamed
arc or=7 dest=5 rue=unnamed
arc or=5 dest=7 rue=unnamed
arc or=1 dest=2 rue=unnamed
arc or=2 dest=1 rue=unnamed
arc or=1 dest=3 rue=unnamed
arc or=3 dest=1 rue=unnamed
arc or=3 dest=4 rue=unnamed
arc or=4 dest=3 rue=unnamed
arc or=2 dest=5 rue=unnamed
arc or=5 dest=2 rue=unnamed
arc or=1 dest=4 rue=unnamed
arc or=4 dest=1 rue=unnamed
arc or=1 dest=5 rue=unnamed
arc or=5 dest=1 rue=unnamed
arc or=8 dest=5 rue=unnamed
arc or=5 dest=8 rue=unnamed
arc or=8 dest=6 rue=unnamed
arc or=6 dest=8 rue=unnamed
arc or=4 dest=6 rue=unnamed
arc or=6 dest=4 rue=unnamed
arc or=10 dest=6 rue=unnamed
arc or=6 dest=10 rue=unnamed
arc or=10 dest=9 rue=unnamed
arc or=9 dest=10 rue=unnamed
arc or=9 dest=8 rue=unnamed
arc or=8 dest=9 rue=unnamed
arc or=8 dest=10 rue=unnamed
arc or=10 dest=8 rue=unnamed

end
